更新日期,#genre#
2025-03-29,https://github.com/ako112/cct/blob/main/pic/Updatetime.mp4
4直播电视剧,#genre#
宰相刘罗锅yy,http://127.0.0.1:35456/yy/1353892468$IPV4•线路1
宰相刘罗锅yy,http://127.0.0.1:35456/yy/1353892468$IPV4•线路2
宰相刘罗锅yy,http://127.0.0.1:35456/yy/1382745191$IPV4•线路3
宰相刘罗锅yy,http://mmitv.top/pltv/yy.php?id=1382745191&uid=2786225719$IPV4•线路4
天龙八部yy,http://127.0.0.1:35456/yy/1351814644$IPV4•线路1
天龙八部yy,http://127.0.0.1:35456/yy/1351814644$IPV4•线路2
天龙八部yy,http://127.0.0.1:35456/yy/1461037999$IPV4•线路3
封神榜yy,http://127.0.0.1:35456/yy/1353426319$IPV4•线路1
封神榜yy,http://127.0.0.1:35456/yy/1353426319$IPV4•线路2
宰相刘罗锅dy,http://127.0.0.1:35456/douyu/7473576$IPV4
西游记dy,http://127.0.0.1:35456/douyu/3113309$IPV4•线路1
西游记dy,http://127.0.0.1:35456/douyu/3113309$IPV4•线路2
a新水浒dy,http://127.0.0.1:35456/douyu/11996166$IPV4
新水浒dy,http://127.0.0.1:35456/douyu/3758762$IPV4
倚天屠龙记hy,http://127.0.0.1:35456/huya/23734246$IPV4
纪晓岚yy,http://127.0.0.1:35456/yy/1352227227$IPV4•线路1
纪晓岚yy,http://127.0.0.1:35456/yy/1354143978$IPV4•线路2
纪晓岚yy,http://127.0.0.1:35456/yy/1354143978$IPV4•线路3
白蛇传yy,http://127.0.0.1:35456/yy/1354490667$IPV4•线路1
白蛇传yy,http://127.0.0.1:35456/yy/1354490667$IPV4•线路2
白蛇传yy,http://127.0.0.1:35456/yy/1354930969$IPV4•线路3
白蛇传yy,http://127.0.0.1:35456/yy/1356326727$IPV4•线路4
新三国hy,http://127.0.0.1:35456/huya/11352944$IPV4
a新三国dy,http://127.0.0.1:35456/douyu/5908256$IPV4
老三国dy,http://127.0.0.1:35456/douyu/7459925$IPV4
神医喜来乐yy,http://127.0.0.1:35456/yy/1382714119$IPV4•线路1
神医喜来乐yy,http://127.0.0.1:35456/yy/1382714119$IPV4•线路2
神医喜来乐yy,http://mmitv.top/pltv/yy.php?id=1382714119&uid=2244059750$IPV4•线路3
神医喜来乐hy,http://127.0.0.1:35456/huya/11601978$IPV4•线路1
神医喜来乐hy,http://127.0.0.1:35456/huya/11601978$IPV4•线路2
康熙私访hy,http://127.0.0.1:35456/huya/11342418$IPV4•线路1
康熙私访hy,http://127.0.0.1:35456/huya/11342418$IPV4•线路2
康熙私访dy,http://127.0.0.1:35456/douyu/7550220$IPV4
新水浒hy,http://127.0.0.1:35456/huya/11342384$IPV4•线路1
新水浒hy,http://127.0.0.1:35456/huya/11342384$IPV4•线路2
z新水浒yy,http://127.0.0.1:35456/yy/1353215589$IPV4
yy新三国,http://127.0.0.1:35456/yy/1382705738$IPV4
狄仁杰2yy,http://127.0.0.1:35456/yy/1382828767$IPV4
康熙私访yy,http://127.0.0.1:35456/yy/1352811698$IPV4•线路1
康熙私访yy,http://127.0.0.1:35456/yy/1352811698$IPV4•线路2
yy神雕侠侣yy,http://127.0.0.1:35456/yy/1351762426$IPV4•线路1
yy神雕侠侣yy,http://127.0.0.1:35456/yy/1382704651$IPV4•线路2
yy康熙王朝,http://127.0.0.1:35456/yy/1382736818$IPV4
包青天2yy,http://127.0.0.1:35456/yy/1356043677$IPV4
yy封神榜,http://127.0.0.1:35456/yy//1382797534$IPV4
倚天屠龙记yy,http://127.0.0.1:35456/yy/1449856066$IPV4
新三国yy,http://127.0.0.1:35456/yy/28298966$IPV4
临时cc频道,#genre#
ccta1a,http://xiaoya.crccxw.top:35455/gaoma/cctv1.m3u8$IPV4
CCTa1j,http://1752e145z8.vicp.fun:35455/gaoma/cctv1.m3u8$IPV4
CC-Va1bes,http://home.kuaidi521.com:35455/gaoma/cctv1.m3u8$IPV4
ccta164k,http://127.0.0.1:35456/gaoma/cctv4k16.m3u8$IPV4
ccta4k10m,http://127.0.0.1:35456/gaoma/cctv4k_10m.m3u8$IPV4
ccta4k,http://127.0.0.1:35456/gaoma/cctv4k.m3u8$IPV4
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8$IPV4•线路1
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8$IPV4•线路2
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8$IPV4•线路1
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8$IPV4•线路2
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8$IPV4•线路1
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8$IPV4•线路2
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8$IPV4•线路1
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8$IPV4•线路2
ccta8k36m,http://127.0.0.1:35456/gaoma/cctv8k_36m.m3u8$IPV4
ccta8k120m,http://127.0.0.1:35456/gaoma/cctv8k_120m.m3u8$IPV4
CCTV1咪咕,http://ttkx.cc:55/lib/kx2024.txt$IPV4
CCTV1咪咕1,http://ttkx.cc:1658/公开源454/mg9.php?id=cctv1$IPV4
cc码频道,#genre#
ccta1高码1,http://127.0.0.1:35456/gaoma/cctv1.m3u8$IPV4
ccta2高码,http://127.0.0.1:35456/gaoma/cctv2.m3u8$IPV4
ccta3高码,http://127.0.0.1:35456/gaoma/cctv13.m3u8$IPV4•线路1
ccta3高码,http://127.0.0.1:35456/gaoma/cctv3.m3u8$IPV4•线路2
ccta4高码,http://127.0.0.1:35456/gaoma/cctv4.m3u8$IPV4
ccta5高码,http://127.0.0.1:35456/gaoma/cctv5.m3u8$IPV4
ccta5p高码,http://127.0.0.1:35456/gaoma/cctv5p.m3u8$IPV4
ccta7高码,http://127.0.0.1:35456/gaoma/cctv7.m3u8$IPV4
ccta8高码,http://127.0.0.1:35456/gaoma/cctv8.m3u8$IPV4
ccta9高码,http://127.0.0.1:35456/gaoma/cctv9.m3u8$IPV4
ccta10高码,http://127.0.0.1:35456/gaoma/cctv10.m3u8$IPV4
ccta11高码,http://127.0.0.1:35456/gaoma/cctv11.m3u8$IPV4
cct12高码,http://127.0.0.1:35456/gaoma/cctv12.m3u8$IPV4
ccta14高码,http://127.0.0.1:35456/gaoma/cctv14.m3u8$IPV4
ccta15高码,http://127.0.0.1:35456/gaoma/cctv15.m3u8$IPV4
ccta16高码,http://127.0.0.1:35456/gaoma/cctv16.m3u8$IPV4
ccta17高码,http://127.0.0.1:35456/gaoma/cctv17.m3u8$IPV4
cgtnar高码,http://127.0.0.1:35456/gaoma/cgtnar.m3u8$IPV4
cgtnen高码,http://127.0.0.1:35456/gaoma/cgtnen.m3u8$IPV4
cgtnfr高码,http://127.0.0.1:35456/gaoma/cgtnfr.m3u8$IPV4
cgtnru高码,http://127.0.0.1:35456/gaoma/cgtnru.m3u8$IPV4
cgtnsp高码,http://127.0.0.1:35456/gaoma/cgtnsp.m3u8$IPV4
湖北综合,#genre#
湖北卫视a,http://171.213.205.179:4022/udp/239.93.0.250:5140$IPV4
湖北卫视b,http://182.119.255.21:4022/rtp/225.1.4.89:1118$IPV4
湖北卫视c,http://27.19.237.137:4022/rtp/239.254.96.115:8664$IPV4
湖北卫视咪咕,http://27.18.5.191:2701/rtp/239.254.96.115:8664$IPV4
荆门新闻综合,http://jingmen-live21.cjyun.org/10101/s10101-jmnews.m3u8?auth_key=1704038399-0-0-13c3bcd900adf2e0769c37e9b77ac917$IPV4•线路1
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8$IPV4•线路2
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8$IPV4•线路3
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8$IPV4•线路4
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]$IPV4•线路5
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]$IPV4•线路6
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd$IPV4•线路7
荆门新闻综合,https://stream.jmtv.com.cn/xwzh/playlist.m3u8?_upt=3e28e7271664278691$IPV4•线路8
荆门新闻综合,https://stream.jmtv.com.cn/xwzh/playlist.m3u8?_upt=3e28e7271664278691$IPV4•线路9
荆门新闻综合,https://stream.jmtv.com.cn/xwzh/playlist.m3u8?_upt=c322881f1704277362$IPV4•线路10
钟祥综合,https://m-zhongxiang.cjyun.org/zhibo/index.html$IPV4•线路1
钟祥综合,https://www.tvsbar.com/hbws/4328-1-1.html$IPV4•线路2
钟祥综合,https://zhongxiang-live21.cjyun.org/10103/s10103-zxtv.m3u8?auth_key=1735660799-0-0-bffe4fb8f0bb7142075cb559396d23cc$IPV4•线路3
央视,#genre#
CCTV1,http://101.66.198.110:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路1
CCTV1,http://101.66.198.222:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路2
CCTV1,http://101.66.198.61:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路3
